350	17.3684
360.499	17.8421
370.472	21.5526
380.446	25.8947
390.42	29.5263
400.394	30.4737
410.367	31.9737
420.341	32.3684
430.315	32.1316
440.814	32.3684
450.262	31.6579
460.236	30.1579
470.735	28.6579
480.709	27.3947
490.682	26.0526
500.656	24.8684
510.63	23.2895
520.079	21.8684
530.052	20.2895
540.026	18.8684
550.525	17.6053
560.499	16.4211
569.948	15.4737
580.446	14.5263
590.42	13.5789
599.869	12.7105
609.843	12
620.341	11.1316
630.315	10.5
640.289	9.86842
650.262	9.31579
660.236	8.68421
670.21	8.13158
680.184	7.65789
690.157	7.10526
700.656	6.71053
710.105	6.39474
719.554	5.92105
730.052	5.52632
740.026	5.21053
750	4.97368
759.974	4.73684
770.472	4.34211
780.446	4.02632
789.895	3.78947
800.394	3.55263
# EoF
